keys,it
%+d di vita massima,%+d di vita massima
%+d vita,%+d vita
%+d vite,%+d vite
%d %s,%d %s
%d carta di città entra nel mazzo,%d carta di città entra nel mazzo
%d carta in mazzo,%d carta in mazzo
%d carta scartata,%d carta scartata
%d carte di città entrano nel mazzo,%d carte di città entrano nel mazzo
%d carte in mazzo,%d carte in mazzo
%d carte nel mazzo — %d restano in pila dopo il primo giro,%d carte nel mazzo — %d restano in pila dopo il primo giro
%d carte scartate,%d carte scartate
%d oro,%d oro
%d vita,%d vita
%d vite,%d vite
%s %d,%s %d
%s %s,%s %s
%s %s  %s,%s %s  %s
%s di %s,%s di %s
%s perde %s senza poterla giocare,%s perde %s senza poterla giocare
%s prende il sigillo %s,%s prende il sigillo %s
"%s se ne va, arriva %s","%s se ne va, arriva %s"
%s via dal mazzo,%s via dal mazzo
"%s — %d oro

%s","%s — %d oro

%s"
%s — %s: %s,%s — %s: %s
"**tutte** le tue carte colpiscono, curano e riparano il %d%% in più per anello. ","**tutte** le tue carte colpiscono, curano e riparano il %d%% in più per anello. "
+%d oro,+%d oro
"+10 oro, una carta in meno","+10 oro, una carta in meno"
+12 di vita massima,+12 di vita massima
"+12 oro, una carta in meno","+12 oro, una carta in meno"
"+15 oro, e una carta di campagna","+15 oro, e una carta di campagna"
+2,+2
"+22 oro, due carte in meno","+22 oro, due carte in meno"
+35 oro,+35 oro
+4,+4
+8 di vita massima,+8 di vita massima
", ",", "
0,0
1,1
1 %s,1 %s
10,10
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
?,?
A,A
ATT,ATT
Abaco da Autobriscola,Abaco da Autobriscola
Abbastanza per mettervi alla prova.,Abbastanza per mettervi alla prova.
Abbastanza.,Abbastanza.
Abbiamo vinto!,Abbiamo vinto!
Abbiamo vinto.,Abbiamo vinto.
Abito Elegante,Abito Elegante
Accetta la sfida,Accetta la sfida
Accetta lo scambio,Accetta lo scambio
"Accetta, e ringrazia","Accetta, e ringrazia"
Accorcia di %d secondi l'attesa delle tue altre carte,Accorcia di %d secondi l'attesa delle tue altre carte
Accorcia di %d secondo l'attesa delle tue altre carte,Accorcia di %d secondo l'attesa delle tue altre carte
Accorcia l'attesa di tutte le altre tue carte in campo.,Accorcia l'attesa di tutte le altre tue carte in campo.
Acqua,Acqua
Adesso gioco.,Adesso gioco.
Adesso guarda quanto aspettano le tue carte e quanto le mie. Vai.,Adesso guarda quanto aspettano le tue carte e quanto le mie. Vai.
Adulto,Adulto
Adulto di Acqua,Adulto di Acqua
Adulto di Elettro,Adulto di Elettro
Adulto di Erba,Adulto di Erba
Adulto di Fuoco,Adulto di Fuoco
Affilato,Affilato
Affretta di 1 secondo le tue altre carte.,Affretta di 1 secondo le tue altre carte.
Aggiunge 2 danni a quello che già fa.,Aggiunge 2 danni a quello che già fa.
